index,strategy,gross_return,net_return,ann_vol,Sharpe,max_drawdown,n_trades,vs_buy_and_hold
S&P 500,Combined signal,0.23001756342647095,0.09420541175512565,0.21802530132966258,0.13782451076281127,-0.31732435310895724,117,-0.09723442456656772
Dow Jones Industrial Average,Combined signal,0.564503682320298,0.40293804022460744,0.21898790813675104,0.5160362139972038,-0.25706136378673106,109,0.2388659529678463
NASDAQ Composite,Combined signal,0.11578467321730335,-0.025121176992408234,0.2512312045348899,-0.033801265512344775,-0.47354645608272483,135,-0.19290869676560263
Russell 2000,Combined signal,0.40946746585543026,0.26138705054883027,0.2640184634923022,0.2935647147288779,-0.31143581577340984,111,0.2027824421268627
FTSE 100,Combined signal,-0.04121490497145375,-0.13505410400270945,0.18766795419231475,-0.2580452845996524,-0.22252083046560422,103,-0.13111640414380255
Cboe UK 100,Combined signal,-0.057958591838421336,-0.16029618260645218,0.16757175756558151,-0.3475248458755148,-0.2321631500651501,115,-0.14962399652199565
Cboe Volatility Index,Combined signal,-0.2153007856010588,-0.31713274972087047,0.8524667132943451,-0.14935482061949867,-0.8786730842216395,139,-0.8730109028066473
