index,strategy,gross_return,net_return,ann_vol,Sharpe,max_drawdown,n_trades,vs_buy_and_hold
S&P 500,MACD,0.6574963462896655,0.34354042605554835,0.09863039645250514,0.29976581845570405,-0.18879535543041415,210,-1.281902254312642
S&P 500,RSI,0.6553940241314886,0.6242384528578862,0.14319962192863023,0.3391190358502832,-0.2861957470118255,19,-1.0012042275103041
S&P 500,SMA crossover,0.5047779331567832,0.4242499647010354,0.1128755125606921,0.3136790564294103,-0.2801286757170931,55,-1.201192715667155
S&P 500,Bollinger Bands,1.4589524518685386,1.3366900668640862,0.15519852600077125,0.5475226164720977,-0.2861957470118256,51,-0.2887526135041041
S&P 500,Momentum,0.6686887620669433,0.31789813508932463,0.10156256004677025,0.2721151908674752,-0.1767426671861858,236,-1.3075445452788657
Dow Jones Industrial Average,MACD,1.0772721553201614,0.7075431264294987,0.09684969869790869,0.5531181888265363,-0.17192203765854897,196,-0.7638176873372635
Dow Jones Industrial Average,RSI,1.058834959635179,1.010011149841827,0.14815988276486985,0.4717689877799886,-0.31485038360606554,24,-0.46134966392493526
Dow Jones Industrial Average,SMA crossover,0.46327437087092194,0.38496745941030563,0.1096481878168102,0.2973736486172808,-0.1719236247643149,55,-1.0863933543564566
Dow Jones Industrial Average,Bollinger Bands,1.072440137777769,0.9654608037344963,0.15394602493083995,0.439460596160221,-0.3708617136959429,53,-0.5059000100322659
Dow Jones Industrial Average,Momentum,0.5030460170750926,0.18707669631758161,0.09745848434079478,0.17617566168327217,-0.21392282443722077,236,-1.2842841174491806
NASDAQ Composite,MACD,1.1261951190225363,0.7512574158001797,0.11926322369946568,0.4703896936988976,-0.24062221612803192,194,-1.6117265366678686
NASDAQ Composite,RSI,0.6588340016575505,0.6341371808523795,0.15879390938970275,0.30964682859621856,-0.2717946635221734,15,-1.7288467716156688
NASDAQ Composite,SMA crossover,0.7418474334164045,0.6568965316567321,0.14039190066445775,0.3600977933521363,-0.31065675823074057,50,-1.7060874208113161
NASDAQ Composite,Bollinger Bands,1.2845673402480173,1.184040624355247,0.18084781376522718,0.43246734531289394,-0.37156308437176333,45,-1.1789433281128012
NASDAQ Composite,Momentum,1.4447317808092568,0.9856283552465879,0.12037507277768582,0.570510956323276,-0.19931160762176248,208,-1.3773555972214604
Russell 2000,MACD,0.5656192440698149,0.27925954341820436,0.13452668167813328,0.18329075496217828,-0.3210057763753388,202,-0.7372388587956533
Russell 2000,RSI,0.27408207976155397,0.2551134688074086,0.17758520409119175,0.12810572400482803,-0.40544555001263616,15,-0.7613849334064491
Russell 2000,SMA crossover,0.3282393569946407,0.25339299941147964,0.1475105024267427,0.15329313126784605,-0.3076958592199973,58,-0.763105402802378
Russell 2000,Bollinger Bands,1.4520061145380123,1.3069043366302386,0.1870477257615674,0.447427425938496,-0.41561373968499815,61,0.29040593441638096
Russell 2000,Momentum,0.04835277946717831,-0.19489280514364493,0.1388645287338171,-0.15629493718683987,-0.4791117876836106,264,-1.2113912073575026
FTSE 100,MACD,0.011041015151647793,-0.17388351457801865,0.09732301312892296,-0.19588505261198477,-0.34243444326743155,202,-0.41018777778359095
FTSE 100,RSI,0.3844277181245901,0.35973095685869394,0.13211924099216485,0.2321224094349492,-0.29089103268104377,18,0.12342669365312164
FTSE 100,SMA crossover,-0.33685388291460305,-0.3810680361339359,0.09647486116718777,-0.49630535858813457,-0.4021951634213473,69,-0.6173722993395082
FTSE 100,Bollinger Bands,0.41700074692150446,0.35464914581258,0.14178373439542807,0.21366443399274862,-0.34169524092489467,45,0.1183448826070077
FTSE 100,Momentum,0.029176332389213355,-0.21670131622017108,0.09219479966342586,-0.2643940329847151,-0.29506331287194987,273,-0.4530055794257434
Cboe UK 100,MACD,-0.0617426056803162,-0.230281919216477,0.09760481121322201,-0.2671994647423309,-0.3998186200962356,198,-0.4740937722387303
Cboe UK 100,RSI,0.33537911296986556,0.3141830677048376,0.1311332372268306,0.20760788100016356,-0.29409592143278773,16,0.07037121468258434
Cboe UK 100,SMA crossover,-0.36693359328546404,-0.40914223235208547,0.0969303242583926,-0.5409116619611205,-0.43141226704135527,69,-0.6529540853743387
Cboe UK 100,Bollinger Bands,0.4791811253503031,0.40563427327454527,0.1405064307206878,0.24146719540272216,-0.3455182599567186,51,0.161822420252292
Cboe UK 100,Momentum,-0.08781371539663219,-0.3022616130915723,0.09383836651396475,-0.3821786774558357,-0.38392195876946233,268,-0.5460734661138256
Cboe Volatility Index,MACD,-0.9736314441396199,-0.9789442804802239,1.0623071178523966,-0.36384811790458266,-0.9897559646631732,225,-1.4551022931373385
Cboe Volatility Index,RSI,0.46848979256290013,0.464090924786027,0.2609068075831611,0.14629319786736442,-0.40494995645439635,3,-0.01206708787108779
Cboe Volatility Index,SMA crossover,-0.9926879377186794,-0.9932366025051076,0.9413075746767608,-0.5314081224654946,-0.9954899374800527,78,-1.4693946151622224
Cboe Volatility Index,Bollinger Bands,3.937562071440368,3.8543329680294613,0.2884743900409181,0.548317215512775,-0.304661519718618,17,3.3781749553723466
Cboe Volatility Index,Momentum,-0.9985314912329417,-0.9989537132771374,1.0503356496428191,-0.6541420572707896,-0.9992300634753937,339,-1.4751117259342523
