index,strategy,gross_return,net_return,ann_vol,Sharpe,max_drawdown,n_trades,vs_buy_and_hold
Cboe UK 100,Bollinger Bands,0.4791811253503031,0.4056342732745452,0.1405064307206878,0.2414671954027221,-0.3455182599567186,51,0.161822420252292
Cboe UK 100,RSI,0.3353791129698655,0.3141830677048376,0.1311332372268306,0.2076078810001635,-0.2940959214327877,16,0.0703712146825843
Cboe UK 100,Random Forest,0.2961874237336965,0.0957370091233089,0.1829139066481842,0.1666124539642239,-0.3371838240283566,168,0.1064091952077654
Cboe UK 100,Logistic Regression,0.2101461579690371,-0.0890423370615534,0.1662492846631159,-0.1869859794486959,-0.3314914664163756,284,-0.0783701509770968
Cboe UK 100,MACD,-0.0617426056803162,-0.230281919216477,0.097604811213222,-0.2671994647423309,-0.3998186200962356,198,-0.4740937722387303
Cboe UK 100,Combined signal,-0.0579585918384213,-0.1602961826064521,0.1675717575655815,-0.3475248458755148,-0.2321631500651501,115,-0.1496239965219956
Cboe UK 100,Momentum,-0.0878137153966321,-0.3022616130915723,0.0938383665139647,-0.3821786774558357,-0.3839219587694623,268,-0.5460734661138256
Cboe UK 100,SMA crossover,-0.366933593285464,-0.4091422323520854,0.0969303242583926,-0.5409116619611205,-0.4314122670413552,69,-0.6529540853743387
Cboe UK 100,Feed-forward neural network,-0.1132521282994004,-0.2947441156115989,0.1554825328929557,-0.7486255400015249,-0.3540414647400002,229,-0.2840719295271424
Cboe Volatility Index,Logistic Regression,1.360378228645537,1.2997993329178903,0.2180854232513898,1.2746151415755045,-0.1243056854251364,26,0.7439211798321135
Cboe Volatility Index,Random Forest,0.7470414932854936,0.6954086140828233,0.2111672792737965,0.8344459120281821,-0.1248436917522758,30,0.1395304609970464
Cboe Volatility Index,Feed-forward neural network,1.5437359223259053,1.278765470399544,0.4564273940357358,0.6023044427895131,-0.4863509009237744,110,0.7228873173137673
Cboe Volatility Index,Bollinger Bands,3.937562071440368,3.854332968029462,0.2884743900409181,0.548317215512775,-0.304661519718618,17,3.3781749553723466
Cboe Volatility Index,RSI,0.4684897925629001,0.464090924786027,0.2609068075831611,0.1462931978673644,-0.4049499564543963,3,-0.0120670878710877
Cboe Volatility Index,Combined signal,-0.2153007856010588,-0.3171327497208704,0.8524667132943451,-0.1493548206194986,-0.8786730842216395,139,-0.8730109028066473
Cboe Volatility Index,MACD,-0.97363144413962,-0.978944280480224,1.0623071178523966,-0.3638481179045826,-0.9897559646631732,225,-1.4551022931373383
Cboe Volatility Index,SMA crossover,-0.9926879377186794,-0.9932366025051076,0.9413075746767608,-0.5314081224654946,-0.9954899374800528,78,-1.4693946151622224
Cboe Volatility Index,Momentum,-0.9985314912329416,-0.9989537132771374,1.0503356496428191,-0.6541420572707896,-0.9992300634753936,339,-1.4751117259342523
Dow Jones Industrial Average,MACD,1.0772721553201614,0.7075431264294987,0.0968496986979086,0.5531181888265363,-0.1719220376585489,196,-0.7638176873372635
Dow Jones Industrial Average,Combined signal,0.564503682320298,0.4029380402246074,0.218987908136751,0.5160362139972038,-0.257061363786731,109,0.2388659529678463
Dow Jones Industrial Average,RSI,1.058834959635179,1.010011149841827,0.1481598827648698,0.4717689877799886,-0.3148503836060655,24,-0.4613496639249352
Dow Jones Industrial Average,Bollinger Bands,1.072440137777769,0.9654608037344964,0.1539460249308399,0.439460596160221,-0.3708617136959429,53,-0.5059000100322659
Dow Jones Industrial Average,Feed-forward neural network,0.6768047650577074,0.2660351106868019,0.205570327848445,0.3830035468168071,-0.2525667516479829,281,0.1019630234300408
Dow Jones Industrial Average,SMA crossover,0.4632743708709219,0.3849674594103056,0.1096481878168102,0.2973736486172808,-0.1719236247643149,55,-1.0863933543564566
Dow Jones Industrial Average,Momentum,0.5030460170750926,0.1870766963175816,0.0974584843407947,0.1761756616832721,-0.2139228244372207,236,-1.2842841174491806
Dow Jones Industrial Average,Logistic Regression,0.2613169015828609,0.0888872847498962,0.2174267659279243,0.1307246674289377,-0.3137194568047917,147,-0.0751848025068648
Dow Jones Industrial Average,Random Forest,0.1255214295974904,0.0631608673427204,0.2479618978999276,0.0824421585996272,-0.370861713695943,57,-0.1009112199140407
FTSE 100,RSI,0.3844277181245901,0.3597309568586939,0.1321192409921648,0.2321224094349492,-0.2908910326810437,18,0.1234266936531216
FTSE 100,Bollinger Bands,0.4170007469215044,0.35464914581258,0.141783734395428,0.2136644339927486,-0.3416952409248946,45,0.1183448826070077
FTSE 100,Random Forest,0.0788329463390147,-0.0583486111018931,0.1919003222837476,-0.1045677898461454,-0.3371867743852723,136,-0.0544109112429862
FTSE 100,MACD,0.0110410151516477,-0.1738835145780186,0.0973230131289229,-0.1958850526119847,-0.3424344432674315,202,-0.4101877777835909
FTSE 100,Combined signal,-0.0412149049714537,-0.1350541040027094,0.1876679541923147,-0.2580452845996524,-0.2225208304656042,103,-0.1311164041438025
FTSE 100,Momentum,0.0291763323892133,-0.216701316220171,0.0921947996634258,-0.2643940329847151,-0.2950633128719498,273,-0.4530055794257434
FTSE 100,Logistic Regression,0.0375422803084715,-0.2000013794299048,0.1707688047833717,-0.436146856648185,-0.3086501573331071,260,-0.1960636795709979
FTSE 100,SMA crossover,-0.336853882914603,-0.3810680361339359,0.0964748611671877,-0.4963053585881345,-0.4021951634213473,69,-0.6173722993395082
FTSE 100,Feed-forward neural network,-0.1208155803148046,-0.264908720043249,0.1774490126643716,-0.5788859615986329,-0.3378494882106622,179,-0.2609710201843421
NASDAQ Composite,Momentum,1.4447317808092568,0.985628355246588,0.1203750727776858,0.570510956323276,-0.1993116076217624,208,-1.3773555972214604
NASDAQ Composite,MACD,1.1261951190225363,0.7512574158001797,0.1192632236994656,0.4703896936988976,-0.2406222161280319,194,-1.6117265366678686
NASDAQ Composite,Bollinger Bands,1.284567340248017,1.184040624355247,0.1808478137652271,0.4324673453128939,-0.3715630843717633,45,-1.1789433281128012
NASDAQ Composite,SMA crossover,0.7418474334164045,0.6568965316567321,0.1403919006644577,0.3600977933521363,-0.3106567582307405,50,-1.706087420811316
